name,domain,category,description,audience_estimate,audience_period,audience_source_url,audience_checked_at,public_attributes,featured_rank
DIáRIO DO PURUS,diariodopurus.com,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Santa Rosa do Purus, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":19338},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Santa Rosa do Purus · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://diariodopurus.com/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Financiamento institucional (grants, editais, grandes doações, investimento privado etc.)"",""Parcerias"",""Prestação de serviços"",""Publicidade (outros tipos)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
VOZDONORTE,vozdonorte.com.br,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Cruzeiro do Sul, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":13193},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Cruzeiro do Sul · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://vozdonorte.com.br/portal"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Doações diretas"",""Financiamento institucional (grants, editais, grandes doações, investimento privado etc.)"",""Prestação de serviços"",""Publicidade (outros tipos)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Possui alguma edição impressa (secundária)"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
ACRE AO VIVO,acreaovivo.com,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Assis Brasil, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":19337},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Assis Brasil · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.acreaovivo.com/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Parcerias"",""Prestação de serviços"",""Publicidade (outros tipos)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Opinião/colunistas"",""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
VARADOURO,ovaradouro.com.br,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Rio Branco, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":18441},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Rio Branco · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://ovaradouro.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Crowdfunding"",""Doações diretas"",""Financiamento por projetos (grants, editais, apoios, patrocínios etc.)"",""Parcerias""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Redes sociais""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
JURUÁ ONLINE,juruaonline.com.br,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Cruzeiro do Sul, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":13954},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Cruzeiro do Sul · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://juruaonline.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Financiamento institucional (grants, editais, grandes doações, investimento privado etc.)"",""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Opinião/colunistas"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
NOTÍCIAS DA HORA,noticiasdahora.com.br,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Rio Branco, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":12762},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Rio Branco · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://noticiasdahora.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Conteúdo patrocinado"",""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
FOLHA DO JURUá,folhadojurua.com.br,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Cruzeiro do Sul, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14035},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Cruzeiro do Sul · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.folhadojurua.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Opinião/colunistas"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
JURUÁ EM TEMPO,juruaemtempo.com.br,Jornalismo online · Norte,"Veículo do segmento online no Atlas da Notícia; localização: Cruzeiro do Sul, AC. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":14034},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Cruzeiro do Sul · AC · Norte"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://www.juruaemtempo.com.br"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""modelos_de_negocio_declarados"",""valor"":[""Publicidade (outros tipos)"",""Publicidade gráfica (banners, pop-ups etc.)""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Opinião/colunistas"",""Redes sociais"",""Vídeos""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""}]",
TRIBUNA DO SERTÃO,tribunadosertao.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Palmeira dos Índios, AL. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":18729},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Palmeira dos Índios · AL · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://tribunadosertao.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""caracteristicas_declaradas"",""valor"":[""Blogs"",""Noticiário em tempo real""],""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""criterios_de_transparencia_atlas"",""valor"":12,""source_url"":""https://api.atlas.jor.br/api/v1/media/verified""},{""atributo"":""expediente"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/quem-somos""},{""atributo"":""principiosEditoriais"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/principios-editoriais""},{""atributo"":""politicaDeCorrecao"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/politica-de-correcao-de-erros""},{""atributo"":""acessoProfissionaisRedação"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/contato""},{""atributo"":""propriedadeDoVeiculo"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/identificacao-da-propriedade-do-veiculo""},{""atributo"":""identificacaoDoPatrocinio"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/identificacao-de-conteudos-patrocinados""},{""atributo"":""transparenciaDeFinanciamento"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/transparencia-de-financiamento""},{""atributo"":""politicaDePrivacidade"",""valor"":""sim"",""source_url"":""https://tribunadosertao.com.br/politica-de-privacidade""}]",
NOTÍCIAS DO CENTRO,noticiasdocentro.com.br,Jornalismo online · Nordeste,"Veículo do segmento online no Atlas da Notícia; localização: Maceió, AL. Candidato pendente de validação de domínio e curadoria.",,,,,"[{""atributo"":""status_curadoria"",""valor"":""pendente_validacao_editorial""},{""atributo"":""fonte_cadastro"",""valor"":""Atlas da Notícia — API pública"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""atlas_media_id"",""valor"":18861},{""atributo"":""segmento_atlas"",""valor"":""Online""},{""atributo"":""localizacao"",""valor"":""Maceió · AL · Nordeste"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""canal_site_atlas"",""valor"":""https://noticiasdocentro.com.br/"",""source_url"":""https://atlas.jor.br/api/documentacao-da-api/""},{""atributo"":""https_anunciado_pelo_veiculo"",""valor"":true},{""atributo"":""domain_status"",""valor"":""candidato_pendente_de_crawl_e_revisao""},{""atributo"":""coletado_em"",""valor"":""2026-09-26T19:18:14.832862+00:00""},{""atributo"":""criterios_de_transparencia_atlas"",""valor"":10,""source_url"":""https://api.atlas.jor.br/api/v1/media/verified""},{""atributo"":""expediente"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/expediente/""},{""atributo"":""principiosEditoriais"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/editorial/""},{""atributo"":""politicaDeCorrecao"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/politica-de-correcao-de-erros/""},{""atributo"":""acessoProfissionaisRedação"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/fale-conosco/""},{""atributo"":""propriedadeDoVeiculo"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/expediente/""},{""atributo"":""identificacaoDoPatrocinio"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/conteudo-patrocinado/""},{""atributo"":""transparenciaDeFinanciamento"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/transparencia-de-financiamento/""},{""atributo"":""politicaDePrivacidade"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/politica-de-privacidade/""},{""atributo"":""acessibilidade"",""valor"":""sim"",""source_url"":""https://noticiasdocentro.com.br/acessibilidade/""}]",
